Team_Name,Nation,Team_Rank,Race_Date,City,Country,Distance,Technique,Is_Present,Race1_Prob,Team_Points,TeamMembers,Total_Elo,Avg_Elo,Total_Distance_Elo,Avg_Distance_Elo,Total_Distance_F_Elo,Avg_Distance_F_Elo,Total_Distance_C_Elo,Avg_Distance_C_Elo,Total_Sprint_Elo,Avg_Sprint_Elo,Total_Sprint_C_Elo,Avg_Sprint_C_Elo,Total_Sprint_F_Elo,Avg_Sprint_F_Elo,Total_Classic_Elo,Avg_Classic_Elo,Total_Freestyle_Elo,Avg_Freestyle_Elo,Member_1_Elo,Member_1_Distance_Elo,Member_1_Distance_F_Elo,Member_1_Distance_C_Elo,Member_1_Sprint_Elo,Member_1_Sprint_C_Elo,Member_1_Sprint_F_Elo,Member_1_Classic_Elo,Member_1_Freestyle_Elo,Member_1,Member_1_ID,Member_2_Elo,Member_2_Distance_Elo,Member_2_Distance_F_Elo,Member_2_Distance_C_Elo,Member_2_Sprint_Elo,Member_2_Sprint_C_Elo,Member_2_Sprint_F_Elo,Member_2_Classic_Elo,Member_2_Freestyle_Elo,Member_2,Member_2_ID,Member_3_Elo,Member_3_Distance_Elo,Member_3_Distance_F_Elo,Member_3_Distance_C_Elo,Member_3_Sprint_Elo,Member_3_Sprint_C_Elo,Member_3_Sprint_F_Elo,Member_3_Classic_Elo,Member_3_Freestyle_Elo,Member_3,Member_3_ID,Member_4_Elo,Member_4_Distance_Elo,Member_4_Distance_F_Elo,Member_4_Distance_C_Elo,Member_4_Sprint_Elo,Member_4_Sprint_C_Elo,Member_4_Sprint_F_Elo,Member_4_Classic_Elo,Member_4_Freestyle_Elo,Member_4,Member_4_ID,MemberIDs
Canada,Canada,0,02/15/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Antoine Cyr,Olivier Leveille,Xavier McKeever,Graham Ritchie",5603.62973753355,1400.9074343833875,5524.14644296998,1381.036610742495,5243.93510459155,1310.9837761478875,5455.12861920272,1363.78215480068,5381.88732636838,1345.471831592095,5354.2612933440405,1338.5653233360101,5303.82543429838,1325.956358574595,5535.26939381219,1383.8173484530475,5354.16145717421,1338.5403642935526,1485.09552382467,1528.16273039364,1409.84952643793,1519.54704097678,1388.7663712786,1409.39010911492,1331.87076452194,1494.15167372896,1395.33588373415,Antoine Cyr,9225,1445.55178508608,1448.86843662571,1370.99291330381,1366.43445829547,1233.61413520879,1224.08098171672,1249.73676202636,1352.49275156117,1378.54859130995,Olivier Leveille,14108,1363.61135947894,1299.93321501278,1212.43812586269,1330.55466498497,1392.19386058471,1364.962052751,1356.12291265461,1366.23853297815,1280.77592211239,Xavier McKeever,12676,1309.37106914386,1247.18206093785,1250.65453898712,1238.5924549455,1367.31295929628,1355.8281497614,1366.09499509547,1322.38643554391,1299.50106001772,Graham Ritchie,9217,"9225,14108,12676,9217"
Czechia,Czechia,0,02/15/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Michal Novak,Ondrej Cerny,Adam Fellner,Jiri Tuz",5864.26875912563,1466.0671897814075,5399.435258476866,1349.8588146192164,5244.82569542386,1311.206423855965,5308.496664480945,1327.1241661202362,5776.298390310651,1444.0745975776626,5508.59009408171,1377.1475235204275,5759.91562986837,1439.9789074670925,5579.43132725893,1394.8578318147324,5666.7337151163,1416.683428779075,1614.62073110088,1608.20876616962,1512.3641229343,1488.87129381393,1553.39557520299,1407.46026567589,1579.41036406413,1481.53584364813,1581.79872092074,Michal Novak,3655,1506.62239255796,1215.405095959045,1236.18311689105,1237.069180954545,1542.67925991514,1494.77519548469,1506.47018315811,1454.75140245624,1464.12400174349,Ondrej Cerny,8094,1384.05483699672,1377.82455283334,1261.66683919105,1342.31213127203,1240.75048050087,1233.08185293531,1253.03114861252,1345.07583357645,1275.57110333141,Adam Fellner,2162,1358.97079847007,1197.99684351486,1234.61161640746,1240.24405844044,1439.47307469165,1373.27277998582,1421.00393403361,1298.06824757811,1345.23988912066,Jiri Tuz,17348,"3655,8094,2162,17348"
Finland,Finland,0,02/15/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Iivo Niskanen,Lauri Vuorinen,Ristomatti Hakola,Perttu Hyvärinen",6316.49850366549,1579.1246259163725,6223.58254953436,1555.89563738359,5685.18173402019,1421.2954335050474,6116.541584596251,1529.1353961490627,5885.24624039302,1471.311560098255,5793.754444193801,1448.4386110484502,5808.61743329956,1452.15435832489,6189.76847619576,1547.44211904894,6023.81639926905,1505.9540998172624,1694.09458741453,1722.5219616735,1531.19492521395,1678.16709605814,1403.61244491342,1412.1263598981,1349.99224215042,1656.4377121581,1543.34235094685,Iivo Niskanen,1470,1556.29770035404,1398.4401172897,1299.03536824821,1401.30325115212,1664.25234694731,1594.7239372685,1627.91705350045,1489.69003464476,1552.7339202166,Lauri Vuorinen,2874,1537.93300596823,1549.29821048111,1394.18060934918,1514.5100744909,1465.45664495875,1448.95923514264,1497.81642451229,1519.48499607257,1470.46745480984,Ristomatti Hakola,2553,1528.17320992869,1553.32226009005,1460.77083120885,1522.56116289509,1351.92480357354,1337.94491188456,1332.8917131364,1524.15573332033,1457.27267329576,Perttu Hyvärinen,1441,"1470,2874,2553,1441"
France,France,0,02/15/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Hugo Lapalus,Lucas Chanavat,Richard Jouve,Jules Chappaz",6497.6543920966305,1624.4135980241576,5744.96864551385,1436.2421613784625,5535.4298771902495,1383.8574692975624,5544.15016465469,1386.0375411636726,6238.67159937977,1559.6678998449424,5888.164585465341,1472.0411463663352,6223.16585368149,1555.7914634203726,6025.0292167241605,1506.2573041810401,6331.5973078487095,1582.8993269621774,1701.11105365267,1749.82237206918,1616.99885842241,1634.41478098755,1205.81518658523,1203.79008435937,1212.06282416506,1587.35989194564,1583.44758199338,Hugo Lapalus,6018,1608.01893174061,1092.69137885662,1178.66082373914,1140.38519310158,1753.82200063257,1601.9058332924,1760.56573637786,1447.43817701011,1628.40184761391,Lucas Chanavat,3582,1599.72154250868,1453.48200374273,1352.18347270941,1414.77824476359,1648.93595348342,1551.36361024362,1645.22256901246,1513.38005164331,1563.68590624262,Richard Jouve,2768,1588.80286419467,1448.97289084532,1387.58672231929,1354.57194580197,1630.09845867855,1531.10505756995,1605.31472412611,1476.8510961251,1556.0619719988,Jules Chappaz,12181,"6018,3582,2768,12181"
Germany,Germany,0,02/15/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Friedrich Moch,Florian Notz,Jan Stölben,Elias Keck",5953.07479301301,1488.2686982532525,5763.90136405198,1440.975341012995,5562.88509407301,1390.7212735182525,5499.661904788761,1374.9154761971902,5299.74835733601,1324.9370893340024,5100.71503146787,1275.1787578669675,5300.90439525691,1325.2260988142275,5589.9511769665605,1397.4877942416401,5801.74638180818,1450.436595452045,1626.98232959168,1683.21605348738,1604.70450124432,1555.98344787744,1221.73640787665,1225.67111838237,1223.52443536675,1541.27296007317,1524.28741870445,Friedrich Moch,9323,1455.38276219174,1477.0437611124,1451.61814642911,1378.98214820561,1090.09991370349,1135.65401160769,1074.43274231023,1390.19427339532,1402.11666967604,Florian Notz,1488,1452.7895570719,1270.45199945813,1270.37932950853,1258.93919321858,1558.91675791438,1421.68109264769,1560.38080465698,1340.39537494669,1471.53032418267,Jan Stölben,14033,1417.92014415769,1333.18954999407,1236.18311689105,1305.75711548713,1428.99527784149,1317.70880883012,1442.56641292295,1318.08856855138,1403.81196924502,Elias Keck,14056,"9323,1488,14033,14056"
Italy,Italy,0,02/15/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Federico Pellegrino,Davide Graz,Michael Hellweger,Elia Barp",6134.374298987301,1533.5935747468252,5747.43759634149,1436.8593990853724,5528.18812468047,1382.0470311701174,5511.88688291598,1377.971720728995,6200.24319314868,1550.06079828717,5679.33754779444,1419.83438694861,6255.01361220764,1563.75340305191,5703.53439819915,1425.8835995497875,6065.89473314904,1516.47368328726,1714.68478925722,1629.19457647052,1467.98026891835,1567.87885160463,1744.67064687725,1579.96519428919,1761.90413113416,1617.29550340873,1643.60913849397,Federico Pellegrino,44,1528.33013841192,1475.76382291936,1431.03280050237,1317.98855652914,1494.58220162899,1335.68176271846,1519.27941461394,1347.78258047428,1517.92022613702,Davide Graz,12165,1445.73563800268,1198.83990249075,1244.69469022338,1224.93348373888,1531.11316192023,1390.79002852208,1554.62916031865,1316.48593840864,1488.60501948426,Michael Hellweger,5979,1445.62373331548,1443.63929446086,1384.48036503637,1401.08599104333,1429.87718272221,1372.90056226471,1419.20090614089,1421.9703759075,1415.76034903379,Elia Barp,14042,"44,12165,5979,14042"
Norway,Norway,0,02/15/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Johannes Høsflot Klæbo,Harald Østberg Amundsen,Martin Løwstrøm Nyenget,Erik Valnes",7317.305273496951,1829.3263183742376,7188.73187864965,1797.1829696624125,6383.619975514021,1595.9049938785051,6713.77282017586,1678.443205043965,6682.5651840522,1670.64129601305,6393.4641889924205,1598.3660472481051,6506.02354919413,1626.5058872985326,6939.348375264991,1734.8370938162477,6822.99306089144,1705.74826522286,1938.61363875896,1857.47168031501,1654.73189825603,1725.61940804767,1875.67983455379,1729.85082770502,1832.71306027018,1810.85187252866,1823.48133124413,Johannes Høsflot Klæbo,5164,1843.0398875737,1852.29814296667,1692.64404236337,1669.15989225437,1657.39400068073,1532.6073004377,1626.17801895578,1699.6308680115,1755.00827894001,Harald Østberg Amundsen,5449,1785.46978058899,1817.48923768231,1636.41362935785,1696.53390592585,1368.07927528787,1421.91613481123,1341.33390926285,1721.05049925934,1624.10769669715,Martin Løwstrøm Nyenget,2295,1750.1819665753,1661.47281768566,1399.83040553677,1622.45961394797,1781.41207352981,1709.08992603847,1705.79856070532,1707.81513546549,1620.39575401015,Erik Valnes,5923,"5164,5449,2295,5923"
Sweden,Sweden,0,02/15/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Edvin Anger,William Poromaa,Calle Halfvarsson,Jens Burman",6498.86998434181,1624.7174960854525,6481.07645548239,1620.2691138705975,6046.70406708406,1511.676016771015,6204.02881780215,1551.0072044505375,5768.818972514549,1442.2047431286373,5753.7415335224505,1438.4353833806126,5632.8086981177,1408.202174529425,6306.54194703161,1576.6354867579025,6186.20460810722,1546.551152026805,1709.16430237913,1618.81430636554,1477.6733562316,1507.90560653384,1729.68960712063,1591.7355747946,1704.71556408901,1597.57302221226,1669.19512305279,Edvin Anger,14039,1700.48196384885,1733.57579335928,1594.88028687983,1618.7857349077,1315.63522529409,1321.74203356484,1290.71626033184,1615.97745962892,1565.31953166069,William Poromaa,12573,1580.7502572073,1583.70957600593,1487.02840867064,1534.36719761132,1527.95860831969,1585.35625620149,1457.38721662638,1571.8306193081,1500.4992436333,Calle Halfvarsson,73,1508.47346090653,1544.97677975164,1487.12201530199,1542.97027874929,1195.53553178014,1254.90766896152,1179.98965707047,1521.16084588233,1451.19070976044,Jens Burman,2811,"14039,12573,73,2811"
Switzerland,Switzerland,0,02/15/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Valerio Grond,Janik Riebli,Jonas Baumann,Jason Rüesch",5944.10088647928,1486.02522161982,5363.62687093541,1340.9067177338525,5299.054012777629,1324.7635031944073,5256.3419485794,1314.08548714485,5856.01208520067,1464.0030213001676,5392.90036199886,1348.225090499715,5904.35897111352,1476.08974277838,5554.24254179866,1388.560635449665,5850.88939239806,1462.722348099515,1547.24202949702,1275.49786428484,1295.18323756142,1247.95354225317,1667.76889615108,1526.19638975354,1667.37421290968,1404.44575546582,1567.18079074097,Valerio Grond,12164,1482.10474782872,1173.06889109225,1231.28722577424,1233.51467938999,1627.13490717608,1439.25139193043,1648.59482220694,1353.19138876589,1520.86762957483,Janik Riebli,7725,1464.15533194425,1477.81465450119,1383.22717209586,1426.59974171118,1226.26977334726,1198.77445641728,1228.30173349893,1437.11317133208,1348.88619561604,Jonas Baumann,1534,1450.59877720929,1437.24546105713,1389.35637734611,1348.27398522506,1334.83850852625,1228.67812389761,1360.08820249797,1359.49222623487,1413.95477646622,Jason Rüesch,2732,"12164,7725,1534,2732"
USA,USA,0,02/15/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Gus Schumacher,Ben Ogden,James Clinton Schoonmaker,Kevin Bolger",6123.0637024487805,1530.7659256121951,5716.0836875244195,1429.0209218811049,5482.363342795261,1370.5908356988152,5453.46617950607,1363.3665448765175,6304.05186618428,1576.01296654607,5826.69831677205,1456.6745791930125,6277.709934570301,1569.4274836425752,5779.52521545083,1444.8813038627075,6068.4725528587605,1517.1181382146901,1653.72082174685,1641.22631193485,1521.01025589209,1545.50178756467,1569.99166070543,1382.17817723094,1579.03588741829,1571.71779163533,1578.89248505841,Gus Schumacher,9172,1588.49038857772,1501.0678467682,1411.6853883289,1436.40353739407,1687.43774822793,1559.63872368179,1671.87166943154,1494.85204866011,1601.9362367419,Ben Ogden,9179,1457.12427357304,1231.99657053942,1241.84909713119,1244.77492089719,1625.10794923531,1543.45785895675,1599.72329215351,1409.28292018858,1474.09136794137,James Clinton Schoonmaker,9201,1423.72821855117,1341.79295828195,1307.81860144308,1226.78593365014,1421.51450801561,1341.42355690257,1427.07908556696,1303.67245496681,1413.55246311708,Kevin Bolger,9159,"9172,9179,9201,9159"
